"","NVDA","MSFT","PG","CAT","WMT","AMZN","EURUSD","GBPUSD","GBPCNY","USDZAR","GBPZAR","EURZAR"
"2010-06-28",0.254450112581253,18.3995723724365,38.9421234130859,43.9083442687988,12.0351314544678,5.8899998664856,1.2339,1.5051,10.2674,7.54,11.3514,9.3273
"2010-06-29",0.240237534046173,17.6426963806152,38.7494125366211,41.4879302978516,11.8724641799927,5.43050003051758,1.2198,1.5054,10.2373,7.6491,11.4996,9.3235
"2010-06-30",0.23404823243618,17.4156475067139,38.5309829711914,40.9561233520508,11.6709480285645,5.46299982070923,1.2271,1.5025,10.1465,7.6492,11.5079,9.3562
"2010-07-01",0.237945169210434,17.5291709899902,38.2483253479004,40.8879470825195,11.7365016937256,5.5479998588562,1.2328,1.4973,10.2477,7.6998,11.4908,9.4612
"2010-07-02",0.234965115785599,17.6124267578125,38.1455421447754,40.3493194580078,11.6539506912231,5.45699977874756,1.2548,1.519,10.285,7.7008,11.6797,9.6221
"2010-07-07",0.243676021695137,18.3920116424561,39.0705909729004,42.3947296142578,11.8773202896118,5.67150020599365,1.2579,1.5193,10.3017,7.6772,11.5903,9.6541
"2010-07-08",0.236340567469597,18.4752635955811,39.7965126037598,43.0697135925293,11.9404430389404,5.81099987030029,1.2567,1.5131,10.2731,7.598,11.524,9.6115
"2010-07-09",0.237257495522499,18.3693027496338,39.6680183410645,44.1265258789062,12.0011425018311,5.86299991607666,1.266,1.5132,10.2325,7.5659,11.4911,9.6072
"2010-07-12",0.241612926125526,18.7931461334229,39.8864479064941,43.8265266418457,12.1686697006226,5.97550010681152,1.2637,1.5165,10.2065,7.6119,11.4023,9.5777
"2010-07-13",0.250323921442032,19.020206451416,40.079158782959,45.5378532409668,12.2706422805786,6.18249988555908,1.2572,1.5009,10.2731,7.6114,11.4212,9.5416
"2010-07-14",0.252845376729965,19.2548389434814,40.252613067627,45.4764785766602,12.2245101928711,6.16499996185303,1.2569,1.5076,10.3365,7.5297,11.4983,9.588
"2010-07-15",0.245739161968231,19.3078155517578,40.2975807189941,45.3469543457031,12.2390737533569,6.10300016403198,1.2703,1.5271,10.4203,7.5406,11.5496,9.6324
"2010-07-16",0.230380460619926,18.8385543823242,39.8222045898438,43.8850364685059,12.0594148635864,5.92449998855591,1.2828,1.535,10.3949,7.562,11.6511,9.7761
"2010-07-19",0.239779070019722,19.0958938598633,39.7386894226074,44.4752998352051,12.0229902267456,5.99700021743774,1.3,1.536,10.3114,7.6198,11.6712,9.8806
"2010-07-20",0.245739161968231,19.2851142883301,39.873592376709,45.5940284729004,12.3531894683838,6.00500011444092,1.2957,1.5282,10.3312,7.6014,11.5951,9.8719
"2010-07-21",0.237715929746628,19.0126457214355,39.5641326904297,45.896053314209,12.2245101928711,5.87150001525879,1.2844,1.5171,10.3097,7.5606,11.5608,9.7244
"2010-07-22",0.241612926125526,19.5575885772705,39.7324523925781,46.6716041564941,12.348334312439,6.00349998474121,1.2817,1.5273,10.3455,7.5623,11.5204,9.688
